Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
the,1,87.85,60910,(定冠詞) 特定のものを指す時に使う。,The sun rises in the east.,,
be,2,86.86,48575,(動詞) ～である、存在する、～になる。,She wants to be a doctor.,,
and,3,84.88,30789,(接続詞) ～と、そして。,I like apples and oranges.,,
of,4,84.79,30126,(前置詞) ～の、～に関する。,This is a cup of coffee.,,
to,5,84.66,29272,(前置詞/不定詞のto) ～へ、～するために。,I go to school every day.,,
a,6,84.45,27872,(不定冠詞) 不特定のものを指す時に使う。,I saw a dog in the park.,,
in,7,83.25,21142,(前置詞) ～の中に、～で。,She lives in Tokyo.,,
have,8,81.53,14210,(動詞) ～を持っている、～がある、～を食べる。,I have a new car.,,
it,9,81.39,13772,(代名詞) それ。,It is raining outside.,,
you,10,81.08,12810,(代名詞) あなた、あなたたち。,Can **you** help me?,,
he,11,80.42,11017,(代名詞) 彼。,**He** is my brother.,,
for,12,80.01,10025,(前置詞) ～のために、～にとって。,This gift is **for** you.,,
they,13,79.9,9764,(代名詞) 彼ら、彼女ら、それら。,**They** are playing outside.,,
not,14,79.77,9494,(副詞) ～ではない。,I do **not** understand.,,
that,15,79.37,8653,(代名詞/接続詞) あれ、それ、～ということ。,I know **that** you are busy.,,
we,16,79.24,8401,(代名詞) 私たち。,**We** are going to the concert.,,
on,17,78.9,7763,(前置詞) ～の上に、～に接して、～に関して。,The book is **on** the table.,,
with,18,78.68,7381,(前置詞) ～と一緒に、～を使って。,I went to the cinema **with** my friends.,,
this,19,78.45,7003,(代名詞/形容詞) これ、この。,**This** is my favorite color.,,
I,20,78.34,6820,(代名詞) 私。,**I** like to read books.,,
do,21,78.33,6802,(動詞/助動詞) ～をする。,What did you **do** today?,,
as,22,78.29,6747,(接続詞/前置詞) ～として、～のように。,She works **as** a teacher.,,
at,23,77.46,5570,(前置詞) ～に（場所・時の一点）。,She is **at** home.,,
she,24,77.16,5195,(代名詞) 彼女。,**She** is very kind.,,
but,25,77.06,5087,(接続詞) しかし、～以外は。,It's small **but** powerful.,,
from,26,76.63,4598,(前置詞) ～から。,I am **from** Japan.,,
by,27,76.36,4323,(前置詞) ～によって、～のそばに。,The book was written **by** him.,,
will,28,76.23,4195,(助動詞) ～だろう（未来）。,I **will** go to the party.,,
or,29,76.09,4060,(接続詞) ～か、または。,Do you want tea **or** coffee?,,
say,30,75.35,3425,(動詞) 言う。,What did he **say**?,,
go,31,75.13,3260,(動詞) 行く。,Let's **go** to the park.,,
so,32,75.09,3227,(副詞/接続詞) とても、だから。,It was **so** cold outside.,,
all,33,75.02,3175,(代名詞/形容詞) すべての、全部。,**All** the students passed the exam.,,
if,34,74.78,3009,(接続詞) もし～ならば。,**If** it rains, we will stay home.,
one,35,74.77,2997,(数/代名詞) 1つ、1人。,I have **one** sister.,,
would,36,74.77,2997,(助動詞) ～だろう（仮定・丁寧）。,**Would** you like some help?,,
about,37,74.72,2967,(前置詞) ～について、およそ。,Tell me **about** your day.,,
can,38,74.61,2890,(助動詞) ～できる。,I **can** swim.,,
which,39,74.6,2886,(代名詞) どちら、どれ。,**Which** color do you prefer?,,
there,40,74.5,2820,(副詞) そこに、～がある。,**There** is a book on the table.,,
know,41,74.21,2634,(動詞) 知っている。,I don't **know** the answer.,,
more,42,74.2,2631,(形容詞/副詞) より多くの、もっと。,I need **more** time.,,
get,43,74.1,2573,(動詞) 得る、なる、着く。,I need to **get** some rest.,,
who,44,74.04,2534,(代名詞) 誰。,**Who** is that person?,,
like,45,73.92,2465,(動詞/前置詞) ～が好き、～のような。,I **like** pizza. / He looks **like** his father.,,
when,46,73.86,2435,(副詞/接続詞) いつ、～の時に。,**When** did you arrive?,,
think,47,73.86,2433,(動詞) 考える、思う。,What do you **think**?,,
make,48,73.73,2359,(動詞) 作る。,She can **make** delicious cakes.,,
time,49,73.62,2302,(名詞) 時間、回。,What **time** is it?,,
see,50,73.48,2226,(動詞) 見る、分かる。,I can **see** a bird.,,
what,51,73.43,2204,(代名詞) 何。,**What** is your name?,,
up,52,73.32,2150,(副詞/前置詞) 上へ、～を上って。,Stand **up**, please.,
some,53,73.28,2130,(形容詞/代名詞) いくつかの、一部の。,I need **some** help.,,
other,54,73.22,2100,(形容詞/代名詞) 他の。,Are there any **other** options?,,
out,55,73.15,2064,(副詞/前置詞) 外へ、～から外へ。,Please go **out**.,,
good,56,73.09,2038,(形容詞) 良い。,Have a **good** day!,,
people,57,73.05,2019,(名詞) 人々。,Many **people** attended the event.,,
year,58,72.9,1949,(名詞) 年。,Happy New **Year**!,,
take,59,72.73,1873,(動詞) 取る、連れて行く。,Please **take** a seat.,,
no,60,72.68,1854,(形容詞/副詞) ない、いいえ。,There is **no** milk left.,,
well,61,72.64,1835,(副詞) よく、健康な。,She sings very **well**.,,
because,62,72.61,1824,(接続詞) ～なので。,I'm tired **because** I didn't sleep well.,,
very,63,72.53,1792,(副詞) とても。,She is **very** kind.,,
just,64,72.43,1751,(副詞) ちょうど、ただ～だけ。,I'm **just** kidding.,,
come,65,72.29,1694,(動詞) 来る。,Please **come** to my house.,,
